Date,Cases,Deaths
1-Mar,0,0
2-Mar,0,0
3-Mar,0,0
4-Mar,0,0
5-Mar,0,0
6-Mar,0,0
7-Mar,1,0
8-Mar,2,0
9-Mar,5,0
10-Mar,8,0
11-Mar,10,0
12-Mar,17,0
13-Mar,30,0
14-Mar,41,1
15-Mar,45,1
16-Mar,51,2
17-Mar,67,2
18-Mar,77,2
19-Mar,94,2
20-Mar,114,2
21-Mar,152,2
22-Mar,220,3
23-Mar,254,6
24-Mar,290,9
25-Mar,391,99
26-Mar,460,13
27-Mar,615,15
28-Mar,739,18
29-Mar,890,22
30-Mar,1020,25
31-Mar,1250,27
1-Apr,1484,34
2-Apr,1706,41
3-Apr,2012,46
4-Apr,2407,51
5-Apr,2637,51
6-Apr,2878,54
7-Apr,3333,63
8-Apr,3645,75
9-Apr,4042,109
10-Apr,4509,121
11-Apr,5077,130
12-Apr,5274,141
13-Apr,5747,149
14-Apr,6171,154
15-Apr,6500,195
16-Apr,6889,208
17-Apr,7491,231
18-Apr,8053,258
